"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","Weigth","Distance.moved","Time_hide_sec","Time_snout_sec","Time_emerge_sec","SVL","Tail","Total","Tail_intact","day","speed_1m_s","burst_25cm","age","Notes","Notes.1","Notes.2.y","logTimeSnout","logspeed_1m","logspeed_burst","logTime_emerge_sec"
"70","LD386_20","CL112_20","9/1/2021","2/3/2021","cold","ablated","Deli",0.334,433.209,2,793,1367,23.609,29.225,52.834,"Yes",1,6.57,1.96,52,"","","",6.67582322163485,1.88251383249652,0.672944473242426,7.22037383672395
"71","LD387_20","CL112_20","22/12/2020","21/2/2021","hot","ablated","Deli",0.418,816.123,5,1282,2582,27.17,41.069,68.239,"Yes",1,3.88,1.34,61,"","","",7.15617663748062,1.35583515363518,0.29266961396282,7.85631957140659
"72","LD390_20","CL114_20","6/1/2021","21/2/2021","cold","ablated","Deli",0.242,673.695,51,NA,NA,21.512,32.253,53.765,"Yes",1,4.11,1.7,46,"","","",NA,1.41342302850814,0.53062825106217,NA
"73","LD396_20","CL115_20","7/1/2021","2/3/2021","cold","control","Deli",0.279,1140.08,2,204,1005,24.188,34.132,58.32,"Yes",1,3.42,0.99,54,"","","",5.31811999384422,1.22964055107451,-0.0100503358535015,6.91274282049318
"74","LD408_20","CL120_20","8/1/2021","2/3/2021","cold","ablated","Deli",0.349,NA,3,3973,NA,25.893,34.618,60.511,"Yes",1,5.28,1.94,53,"","","",8.2872767558146,1.66392609771817,0.662687973075237,NA
"75","LD416_20","CL123_20","9/1/2021","21/2/2021","cold","control","Deli",0.252,1013.36,2,1352,1915,23.622,29.731,53.353,"Yes",1,2.06,0.61,43,"","","",7.20934025660291,0.72270598280149,-0.49429632181478,7.55747290161475
"76","LD419_20","CL124_20","27/12/2020","31/1/2021","hot","control","Deli",0.196,761.624,20,NA,NA,21.269,27.942,49.211,"Yes",1,3.54,1.3,35,"","","",NA,1.26412672714568,0.262364264467491,NA
"78","LD426_20","CL125_20","10/1/2021","21/2/2021","cold","control","Deli",0.209,485.827,49,NA,NA,21.322,30.629,51.951,"Yes",1,4.53,2.34,42,"","","",NA,1.51072193949494,0.85015092936961,NA
"79","LD430_20","CL127_20","26/12/2020","31/1/2021","hot","ablated","Deli",0.226,1328.12,45,2449,NA,NA,NA,NA,"Yes",1,4.23,1.33,36,"cannot see cloaca","V2.2 wrong","DAY 3 All NA, WRONG",7.80343505695217,1.44220199305819,0.285178942233662,NA
"80","LD432_20","CL127_20","28/12/2020","21/2/2021","hot","control","Deli",0.33,1070.78,68,NA,NA,23.24,34.173,57.413,"Yes",1,3.64,1.22,55,"","","",NA,1.29198368164865,0.198850858745165,NA
